Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ENCFF002AFY	19.331642255479267	43.0	36.0	0.0	28259389.0
ENCFF002AFZ	14.833408390689755	42.0	36.0	0.0	29587647.0
ENCFF002ESA	13.834313621057817	43.0	36.0	9.090909090909092	32807944.0
ENCFF002ESD	12.477446681978122	43.0	36.0	9.090909090909092	36416052.0
ENCFF079GEV	12.55054642415449	42.0	50.0	0.0	64280339.0
ENCFF096XZW	12.936260528998844	42.0	50.0	0.0	52678948.0
ENCFF107TLH	19.965417221720585	44.0	50.0	0.0	21731530.0
ENCFF326UOO	20.10755177031575	45.0	50.50262369717555	18.181818181818183	80783332.0
ENCFF406FUF	11.96413126493411	44.0	50.0	0.0	65316982.0
ENCFF429ISC	38.8388100891997	46.0	50.48499567567843	18.181818181818183	70412201.0
ENCFF445IOU	37.41643574506289	45.0	50.511754132068205	18.181818181818183	63995495.0
ENCFF811HJY	17.25877586540105	45.0	50.49684348765554	18.181818181818183	73727258.0
ENCFF900XIV	16.163540840607823	44.0	50.0	0.0	19180715.0
ENCFF954LPU	21.033102035049524	44.0	50.0	0.0	15878113.0
